sn_block,uid_i,uid_j,survey_i,survey_j,released_common_difference,sigma_released_common_difference,local_refit_departure_difference,local_photometric_sigma_independent_proxy,raw_error_cross_survey_covariance,fit_i,fit_j
Pantheon:2007ux,P0512,P0513,5,65,0.21520000000000278,0.1847437414366181,-0.1612151322778464,0.02064955023458267,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008ar,P0439,P0440,57,5,0.1454999999999985,0.13223010247292408,-0.0304469342856152,0.009779198404985942,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008ar,P0439,P0441,57,65,0.0777999999999964,0.13197958175414864,-0.0047704745101072015,0.011427399581643929,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008ar,P0440,P0441,5,65,-0.06770000000000209,0.12736117932871066,0.025676459775508,0.007381472968536325,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008bf,P0371,P0372,57,5,0.053999999999994996,0.2357871073659457,-0.034509753388861,0.006361287447972487,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008bf,P0371,P0373,57,64,0.21629999999999688,0.24249736081038079,-0.019485692440364702,0.009093539755033837,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008bf,P0372,P0373,5,64,0.1623000000000019,0.24091764152921635,0.015024060948496301,0.007015287799376808,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008bz,P0679,P0680,5,65,-0.0294000000000025,0.11324491158546594,0.012393159636739575,0.037586117228343985,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008c,P0234,P0235,5,65,0.043100000000002595,0.18099411592645767,0.0370260354982681,0.018547830396707217,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008cf,P0629,P0630,5,65,-0.007100000000001203,0.12345602455935474,-0.0355808661223032,0.012461471276002382,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008ec,P0195,P0196,57,56,0.042999999999999206,0.24007627954464805,0.069035871610205,0.018586203244682874,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008gg,P0486,P0487,51,5,0.12910000000000119,0.15728242114107985,-0.0800824739722443,0.022331030415885744,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008gl,P0515,P0516,65,51,0.0272000000000006,0.12628990458465,0.0091817989363174,0.01665761891563762,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008gl,P0515,P0517,65,5,0.02070000000000509,0.1313290904559991,-0.002122718763690001,0.009142269193279992,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008gl,P0516,P0517,51,5,-0.006499999999995509,0.11781073805048503,-0.0113045177000074,0.01411290701015959,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008go,P0682,P0683,51,5,-0.008299999999998392,0.1443965027277323,-0.037154670707437804,0.02239630893075731,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008gp,P0525,P0526,5,51,-0.0625,0.12363421856427938,0.12432262934419959,0.019186795622868433,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008hj,P0560,P0561,5,65,0.044599999999995504,0.12641720610739662,0.0442168413907668,0.01808143396403108,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008hs,P0261,P0262,56,65,0.017599999999994495,0.5749548504013162,0.0683492556336589,0.021407709746214906,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008hv,P0152,P0153,56,5,0.02869999999999351,0.23811493023328043,0.0327396116627564,0.010714393174219631,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008hv,P0152,P0154,56,65,0.024999999999998607,0.23696126265700054,0.0374878889472586,0.012621531484532595,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008hv,P0153,P0154,5,65,-0.003699999999994902,0.2123167445115905,0.004748277284502198,0.007134997536855237,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008l,P0241,P0242,57,64,0.08999999999999629,0.18702077424714078,-0.022757380548917405,0.01764978054924005,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008q,P0070,P0071,57,56,0.03140000000000498,0.37262126885082664,0.0697054513204188,0.013765150425312562,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008y,P0698,P0699,51,65,0.01859999999999931,0.17091638306493617,-0.0453320067277351,0.0970850477757906,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2008z,P0292,P0293,57,65,-0.0875999999999948,0.16850471803483721,-0.045932685023164097,0.011949413765350915,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009ad,P0436,P0437,65,5,0.029899999999997803,0.12735850972746188,0.06336092278393861,0.008256586065484227,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009al,P0338,P0339,51,5,-0.022999999999996197,0.19456582433716357,0.0094312648810643,0.024302635801908598,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2009al,P0338,P0340,51,65,0.006800000000005399,0.19719847869595747,0.0377756067714669,0.0266448503178934,unreleased; sigma is a diagonal diagnostic only,ok,ok
