uid,epochs_tested,identifiable_epoch_jackknifes,single_epoch_jackknife_max
P0250,29,29,0.009752518341042486
P0251,6,6,0.06861020184746752
P0252,15,15,0.10141400314005027
P0253,7,7,0.041348635890273704
P0254,15,15,0.04005564075382355
P0255,13,13,0.013597547649541675
P0256,16,16,0.008032617687856606
P0257,5,5,0.057881057706681935
P0258,18,18,0.017070550442397754
P0259,14,14,0.011919183070403707
P0260,68,68,0.014083248735659958
P0261,18,18,0.01947877224079458
P0262,16,16,0.02895895389669174
P0263,13,13,0.026243406320963534
P0264,21,21,0.03896112261235233
P0265,41,41,0.017558062535880527
P0266,25,25,0.011706719774795012
P0267,9,9,0.005803136115857378
P0268,14,14,0.019306963070459034
P0269,11,11,0.022550547093605742
P0270,18,18,0.011627218250161811
P0271,10,10,0.006209368452137013
P0272,47,47,0.026382045275454957
P0273,37,37,0.014502173206829519
P0274,59,59,0.011802725929965457
P0275,12,12,0.027906069419470422
P0276,63,63,0.018642087712251357
P0277,18,18,0.00556119485639143
P0278,17,17,0.012580333573866072
P0279,17,17,0.048404181990982106
P0280,21,21,0.010065043134879697
P0281,35,35,0.02125643273020632
P0282,13,13,0.019764484301737554
P0283,15,15,0.02731676773436339
P0284,8,8,0.022447459591208932
P0285,26,26,0.007746368555610148
P0286,70,70,0.007944939884393752
P0287,19,19,0.013136167600802197
P0288,40,40,0.010145711944254907
P0289,15,15,0.029980490882564097
P0290,15,15,0.039300543024562436
P0291,22,22,0.008749690875022033
P0292,7,7,0.019528930356912857
P0293,19,19,0.009172115604275407
P0294,15,15,0.021578245785758052
P0295,14,14,0.0031244971845397185
P0296,46,46,0.012711848859299517
P0297,21,21,0.07112660948339583
P0298,10,10,0.06017451335752638
P0299,39,39,0.015819001237661126
P0300,33,33,0.012661399191394898
P0301,64,64,0.005937189786093158
P0302,35,35,0.007786849245612978
P0303,17,17,0.005475362874539538
P0304,10,10,0.08394891961460134
P0305,24,24,0.007502933982613896
P0306,12,12,0.07041715497331949
P0307,13,13,0.01000214231794729
P0308,116,116,0.008876455867267263
P0309,13,13,0.07487484332092335
P0310,18,18,0.011734091149205006
P0311,21,21,0.009326848937549388
P0312,17,17,0.025653125714781254
P0313,17,17,0.0055424284293769084
P0314,18,18,0.014429091448602861
P0315,40,40,0.047694187350068806
P0316,24,24,0.005881165770586169
P0317,40,40,0.013167484933625687
P0318,15,15,0.013230329477938762
P0319,26,26,0.006863009877766106
P0320,7,7,0.029954376581029972
P0321,33,33,0.009094148020013673
P0322,19,19,0.036455476513794424
P0323,19,19,0.012725011122676473
P0324,94,94,0.01937053741991443
P0325,24,24,0.005045101524757297
P0326,14,14,0.032133000153721884
P0327,26,26,0.010731110253277281
P0328,26,26,0.009797652181585438
P0329,12,12,0.010587898245068892
P0330,72,72,0.009602990395159291
P0331,7,7,0.004203204979030327
P0332,5,5,0.040032469693428975
P0333,8,8,0.037936283368640335
P0334,20,20,0.005561261546943559
P0335,35,35,0.04163069795719093
P0336,14,14,0.017583152077078223
P0337,72,72,0.007628874809646233
P0338,15,15,0.3008492577921516
P0339,13,13,0.03977417044455354
P0340,18,18,0.029169456502500742
P0341,14,14,0.00760934666075997
