uid,chromatic_residual_chi2,chromatic_rank,phase_given_chromatic_chi2,phase_rank,remaining_chi2,post_source_chi2
P0141,689.5424568978001,3,453.87981665240886,2,399.50814008382883,1542.9304136340386
P0142,169.13037694519198,4,76.69989557175577,2,99.05282089145982,344.8830934084078
P0143,413.48172102248657,6,202.18532874566938,2,303.93896327550965,919.6060130436654
P0144,16.35558009501047,2,43.57149497030082,2,53.758779601619864,113.68585466693119
P0145,120.08225857957099,2,1725.0938185204113,2,1115.7328178062846,2960.908894906264
P0146,52.613294675705255,3,48.005175856847806,2,320.8189381868541,421.43740871940724
P0147,246.76821903690444,3,360.8452257261511,2,495.68058596745277,1103.294030730508
P0148,556.9106562708495,4,476.1038346178647,2,325.56123356999444,1358.5757244587082
P0149,75.03991204991266,3,942.5132992727893,2,2151.8335596967763,3169.386771019479
P0150,1306.4993120575473,5,4622.245871380548,2,19694.004951845127,25622.750135283222
P0151,39.431524365078275,3,645.0537071882138,2,708.3899467518127,1392.875178305104
P0152,75.06270020191954,2,2.5136068265421994,2,101.27719510064149,178.85350212910328
P0153,419.2653337270018,5,455.0861557315652,2,3011.593784893738,3885.945274352305
P0154,30.241917444922066,3,470.52824610571673,2,307.91076588120467,808.6809294318441
P0155,148.84089379611896,4,74.6416282139391,2,172.37759778039234,395.86011979045054
P0156,5.9146761925759455,2,1.363758124152177,2,33.43673690860985,40.71517122533797
P0157,25.737767359872517,3,0.509199376330609,2,18.402850434089395,44.64981717029254
P0158,160.71381709941403,4,89.65487248578235,2,242.16789879957187,492.53658838476844
P0159,124.15679023531186,3,1.7165117487090518,2,141.6426589413614,267.5159609253824
P0160,306.3578427277234,2,1097.9467754617199,2,842.7788420388935,2247.083460228338
P0161,155.8955304023992,2,34.28244203529958,2,197.88574045462022,388.0637128923189
P0162,1097.8485046070589,5,52.29294520300746,2,344.0724209952279,1494.2138708052955
P0163,66.04743174917704,4,9.533618453717658,2,250.5858788625339,326.1669290654287
P0164,93.0802237976415,7,0.23782055373422747,2,57.12451337059163,150.44255772196743
P0165,890.6231671343324,5,1444.5280499247242,2,556.536443443587,2891.6876605026446
P0166,200.4383202438337,3,76.23667701466965,2,94.29983686827173,370.97483412677525
P0167,199.23423402772548,4,192.63450898298424,2,421.24527574999894,813.1140187607087
P0168,9.508609942796216,3,0.6606541118956998,2,30.55150660398142,40.720770658673366
P0169,42.26759124265193,6,0.6772837941155023,2,23.22868572435211,66.17356076111965
P0170,7961.789052596146,5,6606.836907779922,2,9940.4164746626,24509.04243503866
P0171,142.68304948033494,6,528.7544085217819,2,776.6039555401073,1448.0414135422245
P0172,250.70956103448023,5,17.549791114557426,2,56.45293223452974,324.7122843835682
P0173,59.54700252908876,3,1.2604647885971587,2,57.461009829629305,118.26847714731525
P0174,22.91319068954554,4,8.305075955553916,2,66.72310361995216,97.94137026505162
P0175,101.38515552290933,2,133.30820876525846,2,23.163758155864887,257.85712244403277
P0176,114.14051161089516,3,0.46894578386666597,2,201.04134926708647,315.65080666184826
P0177,297.75200925882325,2,524.2932478575505,2,833.4541553887858,1655.499412505158
P0178,95.66223807817664,2,106.52253702412737,2,42.14465959559377,244.32943469789768
P0179,244.89189649244202,6,166.45058284380565,2,627.2072968885678,1038.5497762248156
P0180,314.89870665821223,4,127.08354628569319,2,1256.8227438329966,1698.804996776902
P0181,325.49147131347127,4,73.90506295913221,2,343.9724254987096,743.3689597713133
P0182,254.89387112809942,6,31.54617107676004,2,371.02421637289996,657.4642585777594
P0183,130.3777294256874,2,64.50390297986908,2,203.30659218557795,398.18822459113443
P0184,206.9923596261083,2,85.84240290091064,2,288.9802504121857,581.8150129392047
